level,ai_method,run,steps,time_ms,cost
1,random,1,72,170.16,1755
1,random,2,82,269.97,2755
1,random,3,126,319.96,3294
1,random,4,170,359.96,3734
1,random,5,332,829.95,8549
1,random,6,434,989.94,10235
1,random,7,124,199.94,2104
1,random,8,74,89.95,965
1,random,9,76,149.98,1561
1,random,10,80,159.97,1664
1,random,11,32,99.96,1022
1,random,12,164,259.98,2738
1,random,13,22,69.93,715
1,random,14,68,179.98,1850
1,random,15,204,499.96,5154
1,random,16,102,169.97,1785
1,random,17,64,139.97,1450
1,random,18,146,319.95,3314
1,random,19,42,119.97,1230
1,random,20,132,329.97,3399
1,random,21,256,559.96,5800
1,random,22,202,319.95,3370
1,random,23,196,379.97,3958
1,random,24,428,899.94,9338
1,random,25,130,309.94,3199
1,random,26,60,189.97,1941
1,random,27,90,189.97,1971
1,random,28,58,109.98,1147
1,random,29,134,199.97,2114
1,random,30,306,719.97,7434
1,greedy,1,12,19.88,210
1,greedy,2,12,19.96,210
1,greedy,3,12,19.96,210
1,greedy,4,12,19.96,210
1,greedy,5,12,19.97,210
1,greedy,6,12,19.96,210
1,greedy,7,12,19.97,210
1,greedy,8,12,19.97,210
1,greedy,9,12,19.97,210
1,greedy,10,12,19.97,210
1,greedy,11,12,19.95,210
1,greedy,12,12,19.97,210
1,greedy,13,12,19.97,210
1,greedy,14,12,19.96,210
1,greedy,15,12,19.97,210
1,greedy,16,12,19.96,210
1,greedy,17,12,19.97,210
1,greedy,18,12,19.97,210
1,greedy,19,12,19.97,210
1,greedy,20,12,19.97,210
1,greedy,21,12,19.97,210
1,greedy,22,12,19.97,210
1,greedy,23,12,19.97,210
1,greedy,24,12,19.97,210
1,greedy,25,12,19.97,210
1,greedy,26,12,19.97,210
1,greedy,27,12,19.97,210
1,greedy,28,12,19.97,210
1,greedy,29,12,19.97,210
1,greedy,30,12,19.98,210
1,a_star,1,12,0.01,12
1,a_star,2,12,0.0,12
1,a_star,3,12,0.0,12
1,a_star,4,12,0.0,12
1,a_star,5,12,0.0,12
1,a_star,6,12,0.0,12
1,a_star,7,12,0.0,12
1,a_star,8,12,0.0,12
1,a_star,9,12,0.0,12
1,a_star,10,12,0.0,12
1,a_star,11,12,0.0,12
1,a_star,12,12,0.0,12
1,a_star,13,12,0.0,12
1,a_star,14,12,0.0,12
1,a_star,15,12,0.0,12
1,a_star,16,12,0.0,12
1,a_star,17,12,0.0,12
1,a_star,18,12,0.0,12
1,a_star,19,12,0.0,12
1,a_star,20,12,0.0,12
1,a_star,21,12,0.0,12
1,a_star,22,12,0.0,12
1,a_star,23,12,0.0,12
1,a_star,24,12,0.0,12
1,a_star,25,12,0.0,12
1,a_star,26,12,0.0,12
1,a_star,27,12,0.0,12
1,a_star,28,12,0.0,12
1,a_star,29,12,0.0,12
1,a_star,30,12,0.0,12
2,random,1,1000,1599.76,16840
2,random,2,1000,2109.96,21889
2,random,3,270,729.95,7497
2,random,4,204,589.95,6045
2,random,5,1000,1379.98,14662
2,random,6,1000,1879.96,19612
2,random,7,928,1859.96,19342
2,random,8,1000,2219.96,22978
2,random,9,1000,911.96,10009
2,random,10,446,829.94,8663
2,random,11,1000,2019.97,20998
2,random,12,132,319.94,3300
2,random,13,822,1089.96,11613
2,random,14,1000,1659.96,17434
2,random,15,1000,2129.94,22087
2,random,16,472,1149.94,11857
2,random,17,1000,1799.94,18820
2,random,18,942,1589.95,16683
2,random,19,500,999.95,10400
2,random,20,752,1029.93,10949
2,random,21,1000,1709.93,17929
2,random,22,800,1549.95,16145
2,random,23,304,499.94,5254
2,random,24,312,599.94,6252
2,random,25,98,179.95,1880
2,random,26,454,710.06,7483
2,random,27,158,279.86,2930
2,random,28,568,1249.97,12943
2,random,29,306,709.95,7335
2,random,30,172,229.98,2449
2,greedy,1,24,19.9,222
2,greedy,2,24,19.92,222
2,greedy,3,24,19.95,222
2,greedy,4,24,19.94,222
2,greedy,5,24,19.95,222
2,greedy,6,24,19.94,222
2,greedy,7,24,19.95,222
